MonthNumeric,MonthFactor,Year,ElantraSales,Unemployment,ElantraQueries,CPI.All,CPI.Energy
1,January,2010,7690,9.8,34,217.488,212.807
2,February,2010,7966,9.8,37,217.281,209.624
3,March,2010,8225,9.9,38,217.353,209.326
4,April,2010,9657,9.9,38,217.403,209.219
5,May,2010,9781,9.6,42,217.29,206.631
6,June,2010,14245,9.4,41,217.199,203.764
7,July,2010,18215,9.4,44,217.605,206.877
8,August,2010,15181,9.5,46,217.923,208.77
9,September,2010,10062,9.5,41,218.275,209.832
10,October,2010,9497,9.4,39,219.035,216.71
11,November,2010,8631,9.8,43,219.59,219.496
12,December,2010,13096,9.3,51,220.472,227.13
1,January,2011,9659,9.1,65,221.187,229.258
2,February,2011,12289,9,91,221.898,232.068
3,March,2011,19255,9,100,223.046,240.079
4,April,2011,22100,9.1,98,224.093,247.977
5,May,2011,20006,9,100,224.806,250.744
6,June,2011,19992,9.1,99,224.806,245.534
7,July,2011,15181,9,93,225.395,246.187
8,August,2011,15054,9,84,226.106,246.88
9,September,2011,14386,9,76,226.597,248.55
10,October,2011,13000,8.8,66,226.75,246.655
11,November,2011,12414,8.6,60,227.169,247.64
12,December,2011,13025,8.5,59,227.223,243.353
1,January,2012,10900,8.3,71,227.842,244.876
2,February,2012,13820,8.3,76,228.329,248.898
3,March,2012,19681,8.2,78,228.807,249.742
4,April,2012,16836,8.2,74,229.187,249.677
5,May,2012,18877,8.2,73,228.713,241.806
6,June,2012,17655,8.2,76,228.524,235.897
7,July,2012,18512,8.2,79,228.59,233.568
8,August,2012,17989,8.1,79,229.918,244.987
9,September,2012,18305,7.8,79,231.015,252.987
10,October,2012,14512,7.8,62,231.638,256.017
11,November,2012,15923,7.7,59,231.249,248.819
12,December,2012,19024,7.9,55,231.221,244.708
1,January,2013,12174,8,58,231.612,244.313
2,February,2013,16219,7.7,67,232.985,255.956
3,March,2013,26153,7.5,72,232.299,246.695
4,April,2013,24445,7.6,68,231.795,240.341
5,May,2013,25090,7.5,71,231.916,240.134
6,June,2013,22163,7.5,73,232.374,241.859
7,July,2013,23958,7.3,75,232.889,242.974
8,August,2013,24700,7.3,74,233.323,243.584
9,September,2013,19691,7.2,66,233.632,243.983
10,October,2013,14876,7.2,61,233.718,242.735
11,November,2013,16751,6.9,61,234.121,243.231
12,December,2013,21692,6.7,61,234.723,246.032
1,January,2014,15326,6.6,65,235.385,251.02
2,February,2014,16393,6.7,66,235.672,251.142
3,March,2014,21518,6.7,68,235.978,249.372
4,April,2014,20225,6.2,68,236.471,249.746
5,May,2014,21867,6.3,68,236.832,247.807
6,June,2014,17168,6.1,70,237.029,247.499
7,July,2014,22213,6.2,76,237.424,247.841
8,August,2014,22845,6.2,73,237.256,243.506
9,September,2014,18848,5.9,65,237.486,242.074
10,October,2014,12758,5.7,62,237.506,238.269
11,November,2014,14002,5.8,61,237.118,231.238
12,December,2014,18860,5.6,60,236.29,219.295
1,January,2015,12240,5.7,63,234.913,201.027
2,February,2015,15708,5.5,66,235.489,204.326
3,March,2015,28794,5.4,75,235.989,205.603
4,April,2015,21911,5.4,71,236.201,202.989
5,May,2015,23432,5.5,75,236.891,207.89
6,June,2015,26613,5.3,79,237.419,209.598
7,July,2015,22135,5.2,85,237.876,210.487
8,August,2015,22405,5.1,84,237.811,206.632
9,September,2015,20724,5,75,237.467,197.451
10,October,2015,15868,5,70,237.792,196.789
11,November,2015,17634,5,69,238.153,196.882
12,December,2015,14242,5,68,237.846,191.002
1,January,2016,9885,4.9,74,238.106,188.263
2,February,2016,11973,4.9,84,237.808,179.166
3,March,2016,17505,5,83,238.078,180.818
4,April,2016,12361,5,80,238.908,185.734
5,May,2016,22168,4.7,88,239.362,187.108
6,June,2016,22414,4.9,92,239.842,189.603
7,July,2016,20629,4.9,91,239.898,187.595
8,August,2016,20733,4.9,95,240.389,187.504
9,September,2016,19382,4.9,85,241.006,192.003
10,October,2016,15917,4.8,80,241.694,196.813
11,November,2016,15796,4.6,77,242.199,198.73
12,December,2016,19556,4.7,81,242.821,201.148
1,January,2017,13185,4.8,81,244.158,209.138
2,February,2017,15954,4.7,88,244.456,207.102
3,March,2017,25063,4.5,93,243.752,200.478
4,April,2017,16346,4.4,93,244.158,202.761
5,May,2017,16407,4.3,92,243.846,197.25
6,June,2017,13297,4.4,97,243.79,194.187
7,July,2017,13287,4.3,100,244.048,193.964